text,specialist,type
skin allergy,Dermatologist (Skin),Keyword Phrase
daag dhabbe,Dermatologist (Skin),Keyword Phrase
acne,Dermatologist (Skin),Keyword Phrase
fungal infection,Dermatologist (Skin),Keyword Phrase
"Do din se halka halka bukhar aa raha hai, sath mein badan dard bhi hai.",General Physician,Original
"Sardi, khansi aur zukam ho gaya hai, gale mein bhi kharash hai.",General Physician,Original
Bahut kamzori aur thakaan mehsoos ho rahi hai bina kisi wajah ke.,General Physician,Original
Poora din chakkar aa rahe hain aur kuch khaane ka mann nahi karta.,General Physician,Original
Mausam badalte hi mujhe hamesha bukhar aur badan dard ho jata hai.,General Physician,Original
"General checkup karana hai, kaafi dino se theek nahi feel ho raha.",General Physician,Original
"Halka fever ke saath thodi si khansi bhi hai, do din se hai.",General Physician,Original
"Bas overall weakness hai, koi specific dard nahi hai kahin.",General Physician,Original
"Ghar mein sabko sardi zukam ho raha hai, mujhe bhi shuru ho gaya.",General Physician,Original
Thoda sa bukhar hai aur bhookh bhi nahi lag rahi.,General Physician,Original
general physician chahiye,General Physician,Specialist Term
family doctor ko dikhana hai,General Physician,Specialist Term
normal doctor se checkup karana hai,General Physician,Specialist Term
MBBS doctor chahiye,General Physician,Specialist Term
bukhar,General Physician,Keyword Phrase
fever,General Physician,Keyword Phrase
sardi zukam,General Physician,Keyword Phrase
weakness,General Physician,Keyword Phrase
body pain,General Physician,Keyword Phrase
thakaan,General Physician,Keyword Phrase
ulti dast,General Physician,Keyword Phrase
flu jaisa,General Physician,Keyword Phrase
"Mere bacche ko do din se tez bukhar aa raha hai, khana bhi nahi kha raha.",Paediatrician,Original
6 mahine ke baby ko baar baar ulti ho rahi hai feed ke baad.,Paediatrician,Original
Bachhe ka weight pichle kai mahino se badh hi nahi raha.,Paediatrician,Original
Toddler ko raat ko neend nahi aati aur bahut rota rehta hai.,Paediatrician,Original
"Bachhe ke gale mein infection lag gaya lagta hai, dood peene se mana kar raha.",Paediatrician,Original
"Newborn ki skin peeli lag rahi hai, doctor ko dikhana zaroori hai kya.",Paediatrician,Original
Bachhe ko vaccination ka schedule follow karna hai agla wala.,Paediatrician,Original
Meri beti ko school mein baar baar pet dard hota hai subah ke time.,Paediatrician,Original
Bacha bahut zyada rota hai aur pet fulaa hua lagta hai.,Paediatrician,Original
Bachhe ko khansi ke saath ghrr ghrr ki awaaz aati hai saans lete waqt.,Paediatrician,Original
child specialist chahiye,Paediatrician,Specialist Term
bachho ka doctor dikhana hai,Paediatrician,Specialist Term
paediatrician se appointment chahiye,Paediatrician,Specialist Term
baby doctor ko dikhana hai,Paediatrician,Specialist Term
bacche ko bukhar,Paediatrician,Keyword Phrase
baby ko ulti,Paediatrician,Keyword Phrase
bachhe ka weight nahi badh raha,Paediatrician,Keyword Phrase
infant ko rashes,Paediatrician,Keyword Phrase
bachhe ko khansi,Paediatrician,Keyword Phrase
"Aajkal mann bahut udaas rehta hai, kisi kaam mein mann nahi lagta.",Psychiatrist,Original
"Raaton ko neend hi nahi aati, dimaag mein bohot vichar chalte rehte hain.",Psychiatrist,Original
"Bahut zyada ghabrahat hoti hai bina kisi wajah ke, dil tez chalne lagta hai achanak.",Psychiatrist,Original
"Kisi se baat karne ka mann nahi karta, akela rehna acha lagta hai.",Psychiatrist,Original
Chhoti chhoti baaton par bahut gussa aa jata hai aajkal.,Psychiatrist,Original
Bhookh bilkul nahi lagti aur weight bhi kam ho gaya hai stress se.,Psychiatrist,Original
Mind mein baar baar wahi negative khayal ghoomte rehte hain.,Psychiatrist,Original
Office ke stress ki wajah se panic attacks aane lage hain.,Psychiatrist,Original
"Kabhi bahut high energy feel hoti hai, kabhi ekdum down ho jaata hoon.",Psychiatrist,Original
"Kisi cheez mein interest nahi bacha, hamesha thaka thaka lagta hai mentally.",Psychiatrist,Original
mental health doctor chahiye,Psychiatrist,Specialist Term
psychiatrist se milna hai,Psychiatrist,Specialist Term
dimaagi doctor,Psychiatrist,Specialist Term
counselor ya therapist chahiye,Psychiatrist,Specialist Term
mansik rog ka doctor,Psychiatrist,Specialist Term
mood off rehta hai,Psychiatrist,Keyword Phrase
neend nahi aati,Psychiatrist,Keyword Phrase
anxiety,Psychiatrist,Keyword Phrase
akela mehsoos hota hai,Psychiatrist,Keyword Phrase
negative thoughts,Psychiatrist,Keyword Phrase
depression jaisa lagta hai,Psychiatrist,Keyword Phrase
"Bahut tez sar dard hota hai, aankho ke aage roshni dikhti hai pehle.",Neurologist,Original
Achanak haath ya pair sunn ho jata hai kuch der ke liye.,Neurologist,Original
Chalte chalte achanak chakkar aa gaya aur balance bigad gaya.,Neurologist,Original
"Yaadasht kamzor hoti ja rahi hai, chhoti baatein bhool jaate hain.",Neurologist,Original
Ek baar achanak behosh ho gaye the aur body akad gayi thi.,Neurologist,Original
Haath kaanpte hain jab kuch pakadne ki koshish karta hoon.,Neurologist,Original
Face ka ek side thoda tedha lag raha hai achanak se.,Neurologist,Original
"Migraine ka dard hafte mein 2-3 baar ho jata hai, ulti bhi hoti hai saath.",Neurologist,Original
"Neend mein achanak jhatke se uth jata hoon, poora badan kaanpta hai.",Neurologist,Original
"Bolne mein ladkhadahat ho rahi hai achanak se, pehle theek tha.",Neurologist,Original
neurologist ko dikhana hai,Neurologist,Specialist Term
dimaag aur nervous system ka doctor,Neurologist,Specialist Term
brain specialist chahiye,Neurologist,Specialist Term
sar mein tez dard,Neurologist,Keyword Phrase
migraine,Neurologist,Keyword Phrase
chakkar aana,Neurologist,Keyword Phrase
haath pair sunn,Neurologist,Keyword Phrase
seizure,Neurologist,Keyword Phrase
yaadasht kamzor,Neurologist,Keyword Phrase
Pet mein bahut dard hota hai khane ke turant baad.,Gastroenterologist,Original
Khatte dakaar aate hain aur seene mein jalan hoti hai roz.,Gastroenterologist,Original
"Kai din se pet saaf nahi ho raha, bahut takleef hoti hai.",Gastroenterologist,Original
"Loose motions lag gaye hain do din se, pet mein murmurahat bhi hai.",Gastroenterologist,Original
"Khana khate hi pet fool jaata hai, gas bahut banti hai.",Gastroenterologist,Original
"Stool mein kabhi kabhi blood dikh raha hai, dar lag raha hai.",Gastroenterologist,Original
"Bina kisi wajah ke pichle mahine se weight kam ho raha hai, bhookh bhi kam hai.",Gastroenterologist,Original
Pet ke upar wale hisse mein jalan si rehti hai khaali pet.,Gastroenterologist,Original
Bahut zyada belching hoti hai aur pet bhara bhara lagta hai hardam.,Gastroenterologist,Original
Rat ko sote waqt khatta pani gale tak aa jata hai.,Gastroenterologist,Original
pet ka doctor chahiye,Gastroenterologist,Specialist Term
gastro doctor ko dikhana hai,Gastroenterologist,Specialist Term
stomach specialist se milna hai,Gastroenterologist,Specialist Term
pet mein dard,Gastroenterologist,Keyword Phrase
acidity,Gastroenterologist,Keyword Phrase
gas bharna,Gastroenterologist,Keyword Phrase
loose motion,Gastroenterologist,Keyword Phrase
constipation,Gastroenterologist,Keyword Phrase
khatta dakaar,Gastroenterologist,Keyword Phrase
"Ghutno mein uthte baithte bahut dard hota hai, seedhi chadhna mushkil hai.",Orthopaedic Surgeon (Bone),Original
"Kamar mein bahut dard hai, jhukne mein bhi dikkat hoti hai.",Orthopaedic Surgeon (Bone),Original
"Girne ke baad haath mein bahut dard hai, lagta hai fracture ho gaya hai.",Orthopaedic Surgeon (Bone),Original
"Kandhe ko upar uthane mein dard hota hai, raat ko bhi so nahi paata.",Orthopaedic Surgeon (Bone),Original
"Subah uthte hi joints akde hue lagte hain, dheere dheere theek hota hai.",Orthopaedic Surgeon (Bone),Original
Ghutno se chatak chatak ki awaaz aati hai chalte waqt.,Orthopaedic Surgeon (Bone),Original
"Gardan mudne mein dard hota hai, kaafi din se hai ye problem.",Orthopaedic Surgeon (Bone),Original
"Ankle mudh gaya khelte waqt, sujan bhi aa gayi hai turant.",Orthopaedic Surgeon (Bone),Original
Kaafi der khade rehne se ediyon mein bahut dard hone lagta hai.,Orthopaedic Surgeon (Bone),Original
Peeth ke nichle hisse mein dard hai jo pair tak jata hai kabhi kabhi.,Orthopaedic Surgeon (Bone),Original
haddi ka doctor chahiye,Orthopaedic Surgeon (Bone),Specialist Term
bone specialist ko dikhana hai,Orthopaedic Surgeon (Bone),Specialist Term
orthopaedic surgeon se milna hai,Orthopaedic Surgeon (Bone),Specialist Term
joint ka doctor,Orthopaedic Surgeon (Bone),Specialist Term
ghutno mein dard,Orthopaedic Surgeon (Bone),Keyword Phrase
kamar dard,Orthopaedic Surgeon (Bone),Keyword Phrase
joint pain,Orthopaedic Surgeon (Bone),Keyword Phrase
haddi mein chot,Orthopaedic Surgeon (Bone),Keyword Phrase
fracture,Orthopaedic Surgeon (Bone),Keyword Phrase
peeth dard,Orthopaedic Surgeon (Bone),Keyword Phrase
Aankhon mein bahut jalan hoti hai screen dekhte dekhte.,Ophthalmologist (Eye),Original
Door ki cheezein dheere dheere dhundli dikhne lagi hain.,Ophthalmologist (Eye),Original
Aankh achanak laal ho gayi hai aur usme se pani aa raha hai.,Ophthalmologist (Eye),Original
Raat ko gaadi chalate waqt saamne se aane wali lights se aankhein chundh jaati hain.,Ophthalmologist (Eye),Original
Aankhon mein bahut khujli hoti hai aur kabhi kabhi sujan bhi aa jaati hai.,Ophthalmologist (Eye),Original
Kisi cheez ko paas se dekhne mein bhi dikkat ho rahi hai aajkal.,Ophthalmologist (Eye),Original
"Aankh mein kuch chubhta hua sa lagta hai, dekhne mein kirkiri jaisi feel hoti hai.",Ophthalmologist (Eye),Original
"Chashma ka number badalna hai shayad, dikhna kam ho gaya hai.",Ophthalmologist (Eye),Original
Aankho ke saamne kabhi kabhi kaale dhabbe se tair jaate hain.,Ophthalmologist (Eye),Original
"Subah uthte hi aankhein chipak jaati hain, pili sa discharge bhi hota hai.",Ophthalmologist (Eye),Original
eye specialist chahiye,Ophthalmologist (Eye),Specialist Term
aankho ka doctor dikhana hai,Ophthalmologist (Eye),Specialist Term
ophthalmologist se milna hai,Ophthalmologist (Eye),Specialist Term
chashme wala doctor,Ophthalmologist (Eye),Specialist Term
aankhon mein jalan,Ophthalmologist (Eye),Keyword Phrase
dhundla dikhna,Ophthalmologist (Eye),Keyword Phrase
aankh laal,Ophthalmologist (Eye),Keyword Phrase
aankhon mein khujli,Ophthalmologist (Eye),Keyword Phrase
chashma,Ophthalmologist (Eye),Keyword Phrase
aankho se pani,Ophthalmologist (Eye),Keyword Phrase
Gale mein bahut kharash hai aur nigalte waqt dard hota hai.,ENT Specialist,Original
Kaan mein dard ho raha hai aur sunai bhi kam de raha hai.,ENT Specialist,Original
"Naak hamesha band rehti hai, saans lene mein dikkat hoti hai.",ENT Specialist,Original
"Awaaz baith gayi hai kai dino se, bolne mein museebat ho rahi hai.",ENT Specialist,Original
"Kaan mein se ajeeb si awaaz aati rehti hai, ghanti jaisi.",ENT Specialist,Original
"Baar baar sinus ka dard hota hai, matha bhi bhaari rehta hai.",ENT Specialist,Original
Gale mein kuch atka hua sa feel hota hai hardam.,ENT Specialist,Original
"Naak se khoon aa gaya tha achanak, koi chot nahi lagi thi.",ENT Specialist,Original
"Tonsils bahut soojh gaye hain, khana nigalna mushkil ho raha hai.",ENT Specialist,Original
"Kaan mein khujli aur halka dard rehta hai, paani gaya tha shayad.",ENT Specialist,Original
ENT doctor chahiye,ENT Specialist,Specialist Term
gala kaan naak ka doctor,ENT Specialist,Specialist Term
throat specialist ko dikhana hai,ENT Specialist,Specialist Term
gale mein kharash,ENT Specialist,Keyword Phrase
kaan mein dard,ENT Specialist,Keyword Phrase
naak band,ENT Specialist,Keyword Phrase
awaaz baithna,ENT Specialist,Keyword Phrase
sinus,ENT Specialist,Keyword Phrase
gale mein kuch atka,ENT Specialist,Keyword Phrase
"Sugar level check karvaya to bahut high aaya, pehle kabhi nahi tha.",Endocrinologist (Hormones/Diabetes),Original
Baar baar pyaas lagti hai aur baar baar washroom bhi jaana padta hai.,Endocrinologist (Hormones/Diabetes),Original
Bina kuch kiye weight bahut badh gaya hai pichle kuch mahino mein.,Endocrinologist (Hormones/Diabetes),Original
"Thyroid ki problem hai shayad, gale mein sujan bhi lagti hai halki.",Endocrinologist (Hormones/Diabetes),Original
"Bahut thakaan rehti hai aur mood bhi low rehta hai, periods bhi irregular hain.",Endocrinologist (Hormones/Diabetes),Original
"Haath pair mein jhanjhanahat rehti hai, doctor ne sugar check karne bola.",Endocrinologist (Hormones/Diabetes),Original
"Achanak bahut zyada bhookh lagne lagi hai, weight kam ho raha hai phir bhi.",Endocrinologist (Hormones/Diabetes),Original
"Family mein diabetes hai, mujhe bhi apna sugar check karana hai.",Endocrinologist (Hormones/Diabetes),Original
"Weight loss ke saath saath dil bhi tez dhadakta hai, garmi bhi zyada lagti hai.",Endocrinologist (Hormones/Diabetes),Original
hormone specialist chahiye,Endocrinologist (Hormones/Diabetes),Specialist Term
sugar ka doctor dikhana hai,Endocrinologist (Hormones/Diabetes),Specialist Term
diabetes specialist se milna hai,Endocrinologist (Hormones/Diabetes),Specialist Term
thyroid doctor chahiye,Endocrinologist (Hormones/Diabetes),Specialist Term
sugar high,Endocrinologist (Hormones/Diabetes),Keyword Phrase
diabetes,Endocrinologist (Hormones/Diabetes),Keyword Phrase
thyroid,Endocrinologist (Hormones/Diabetes),Keyword Phrase
weight badhna ghatna,Endocrinologist (Hormones/Diabetes),Keyword Phrase
hormone imbalance,Endocrinologist (Hormones/Diabetes),Keyword Phrase
baar baar pyaas lagna,Endocrinologist (Hormones/Diabetes),Keyword Phrase
Periods bahut irregular ho gaye hain pichle kai mahino se.,Gynaecologist,Original
"Pregnancy confirm karani hai, periods miss ho gaye hain.",Gynaecologist,Original
Pet ke niche wale hisse mein periods ke doraan bahut dard hota hai.,Gynaecologist,Original
"White discharge zyada ho raha hai, thoda irritation bhi hai.",Gynaecologist,Original
"PCOD ka doubt hai, weight bhi badh raha hai aur periods bhi skip hote hain.",Gynaecologist,Original
"Pregnancy ke doraan checkup karana hai regular, 5th month chal raha hai.",Gynaecologist,Original
"Bahut heavy bleeding hoti hai periods ke time, pehle aisa nahi tha.",Gynaecologist,Original
Menopause ke baad se hot flashes aur mood swings ho rahe hain.,Gynaecologist,Original
"Breast mein ek gaanth si mehsoos hui hai, dar lag raha hai.",Gynaecologist,Original
lady doctor chahiye,Gynaecologist,Specialist Term
gynaecologist se milna hai,Gynaecologist,Specialist Term
mahila rog vishesagya,Gynaecologist,Specialist Term
obstetrician ko dikhana hai,Gynaecologist,Specialist Term
periods irregular,Gynaecologist,Keyword Phrase
pregnancy checkup,Gynaecologist,Keyword Phrase
pet ke niche dard,Gynaecologist,Keyword Phrase
white discharge,Gynaecologist,Keyword Phrase
PCOD,Gynaecologist,Keyword Phrase
menstrual cramps,Gynaecologist,Keyword Phrase
"Pet ke niche ek gaanth ban gayi hai jo khaansne par bahar aati hai, hernia lagta hai.",General Surgeon,Original
"Achanak pet ke right side mein bahut tez dard hua, appendix ho sakta hai.",General Surgeon,Original
"Gallbladder mein stone hai, doctor ne operation ki salah di hai.",General Surgeon,Original
Skin ke neeche ek gaanth hai jo dheere dheere badh rahi hai.,General Surgeon,Original
"Deep cut lag gaya hai, stitches lagane padenge shayad.",General Surgeon,Original
"Piles ki problem hai kaafi time se, ab operation ki zaroorat bata rahe hain.",General Surgeon,Original
Body mein kahin bhi lump feel ho raha hai jo pehle nahi tha.,General Surgeon,Original
Operation ke baad follow-up checkup karana hai ghaav dekhne ke liye.,General Surgeon,Original
operation wale doctor se milna hai,General Surgeon,Specialist Term
general surgery specialist ko dikhana hai,General Surgeon,Specialist Term
general surgeon ko dikhana hai,General Surgeon,Specialist Term
operation karana hai,General Surgeon,Keyword Phrase
hernia,General Surgeon,Keyword Phrase
gaanth,General Surgeon,Keyword Phrase
appendix,General Surgeon,Keyword Phrase
chot gehri hai,General Surgeon,Keyword Phrase
"Kaafi hafton se khansi lagatar bani hui hai, jaati hi nahi.",Pulmonologist (Chest/Lungs),Original
"Saans lene mein bahut dikkat hoti hai, seeti jaisi awaaz bhi aati hai.",Pulmonologist (Chest/Lungs),Original
"Asthma ka attack aane wala lagta hai, chest tight ho gaya hai.",Pulmonologist (Chest/Lungs),Original
Khansi ke saath khoon bhi aa raha hai thoda thoda.,Pulmonologist (Chest/Lungs),Original
Raat ko sote waqt saans phool jaati hai achanak.,Pulmonologist (Chest/Lungs),Original
"Chest mein bahut congestion feel hota hai, balgam nikal nahi raha.",Pulmonologist (Chest/Lungs),Original
Thodi si mehnat mein hi saans phool jaati hai kaafi dino se.,Pulmonologist (Chest/Lungs),Original
"TB ka doubt hai, weight bhi kam ho raha hai aur raat ko paseena aata hai.",Pulmonologist (Chest/Lungs),Original
chest specialist chahiye,Pulmonologist (Chest/Lungs),Specialist Term
lungs ka doctor dikhana hai,Pulmonologist (Chest/Lungs),Specialist Term
pulmonologist se milna hai,Pulmonologist (Chest/Lungs),Specialist Term
saans ka doctor,Pulmonologist (Chest/Lungs),Specialist Term
saans lene mein dikkat,Pulmonologist (Chest/Lungs),Keyword Phrase
khansi lagatar,Pulmonologist (Chest/Lungs),Keyword Phrase
asthma,Pulmonologist (Chest/Lungs),Keyword Phrase
chest congestion,Pulmonologist (Chest/Lungs),Keyword Phrase
wheezing,Pulmonologist (Chest/Lungs),Keyword Phrase
TB ka doubt,Pulmonologist (Chest/Lungs),Keyword Phrase
Peshaab karte waqt bahut jalan hoti hai kai dino se.,Urologist,Original
"Peshaab mein khoon dikha aaj, dar lag raha hai.",Urologist,Original
"Baar baar peshaab jaana padta hai, raat ko bhi kai baar uthna padta hai.",Urologist,Original
"Kamar ke ek side mein achanak bahut tez dard hua, kidney stone lagta hai.",Urologist,Original
Peshaab ruk ruk kar aata hai aur poora khali bhi nahi hota lagta.,Urologist,Original
"Prostate badh gaya hai lagta hai, peshaab ka flow kamzor ho gaya hai.",Urologist,Original
Peshaab mein badbu aur jhaag zyada aa raha hai aajkal.,Urologist,Original
urologist ko dikhana hai,Urologist,Specialist Term
kidney aur peshaab ka doctor,Urologist,Specialist Term
prostate specialist chahiye,Urologist,Specialist Term
peshaab mein jalan,Urologist,Keyword Phrase
kidney stone,Urologist,Keyword Phrase
peshaab baar baar,Urologist,Keyword Phrase
prostate,Urologist,Keyword Phrase
peshaab mein khoon,Urologist,Keyword Phrase
Operation se pehle anesthesia ke baare mein doctor se baat karni hai.,Anaesthesiologist,Original
"Pichli baar anesthesia se ulti hui thi, is baar precaution leni hai.",Anaesthesiologist,Original
Surgery ke doraan behosh karne wale doctor se milna hai pehle.,Anaesthesiologist,Original
"Anesthesia ka asar utarne mein bahut time lagta hai mujhe, batana hai unko.",Anaesthesiologist,Original
"Delivery ke liye epidural lena hai ya nahi, samajh nahi aa raha.",Anaesthesiologist,Original
"Kamar mein spinal anesthesia dena hai operation ke liye, doubts hain kuch.",Anaesthesiologist,Original
Anesthesia se allergy hai kya check karna hai operation se pehle.,Anaesthesiologist,Original
Local anesthesia mein hi chhota operation ho sakta hai kya poochna hai.,Anaesthesiologist,Original
Pain management ke liye anesthesia specialist se consultation chahiye.,Anaesthesiologist,Original
"General anesthesia diya jayega ya sirf sunn karenge, ye janna hai operation se pehle.",Anaesthesiologist,Original
"Meri maa ko heart ki problem hai, unhe anesthesia dena safe hoga kya operation mein.",Anaesthesiologist,Original
"Bache ko chhote operation ke liye anesthesia denge, kitna risk hota hai puchna hai.",Anaesthesiologist,Original
Anesthesia lene ke kitne ghante pehle khana peena band karna hai.,Anaesthesiologist,Original
"Operation ke baad dard kam karne ke liye kaunsi anesthesia use hogi, discuss karna hai.",Anaesthesiologist,Original
"Pichli surgery mein anesthesia se saans lene mein dikkat hui thi, is baar dar lag raha hai.",Anaesthesiologist,Original
anesthesia doctor se milna hai,Anaesthesiologist,Specialist Term
anaesthesiologist ko dikhana hai,Anaesthesiologist,Specialist Term
behoshi wale doctor se baat karni hai,Anaesthesiologist,Specialist Term
pain management specialist chahiye,Anaesthesiologist,Specialist Term
operation se pehle anesthesia consult chahiye,Anaesthesiologist,Specialist Term
anesthesia,Anaesthesiologist,Keyword Phrase
operation se pehle,Anaesthesiologist,Keyword Phrase
behosh karna,Anaesthesiologist,Keyword Phrase
pre-op consultation,Anaesthesiologist,Keyword Phrase
epidural,Anaesthesiologist,Keyword Phrase
spinal block,Anaesthesiologist,Keyword Phrase
"Accident ho gaya hai, bahut khoon beh raha hai turant madad chahiye.",Emergency Medicine Specialist,Original
"Ghar mein koi achanak behosh ho gaya hai, saans bhi theek se nahi le pa raha.",Emergency Medicine Specialist,Original
"Bachhe ne galti se kuch dawai kha li hai, turant dikhana hai.",Emergency Medicine Specialist,Original
"Seene mein achanak bahut tez dard hua hai abhi, ambulance chahiye.",Emergency Medicine Specialist,Original
"Seedhi se girne ke baad hil nahi pa raha, turant hospital jaana hai.",Emergency Medicine Specialist,Original
Jalne ki wajah se skin poori tarah se badly burn ho gayi hai.,Emergency Medicine Specialist,Original
"Saans achanak ruk si gayi thi, neela pad gaya tha chehra.",Emergency Medicine Specialist,Original
"Snake ne kaat liya hai, turant hospital pahunchna hai.",Emergency Medicine Specialist,Original
High fever ke saath bachhe ko seizure aa gaya achanak.,Emergency Medicine Specialist,Original
"Kisi ne galti se poison pi liya hai, turant hospital chahiye.",Emergency Medicine Specialist,Original
"Gaadi ka accident hua hai, kai log ghayal hain, turant madad chahiye.",Emergency Medicine Specialist,Original
"Chhat se gir gaya bachha, sar se khoon beh raha hai turant.",Emergency Medicine Specialist,Original
Achanak chest jakad gaya aur saans bilkul nahi le pa rahe the.,Emergency Medicine Specialist,Original
"Bahut zyada allergic reaction ho gaya khane se, gala sujj raha hai turant.",Emergency Medicine Specialist,Original
"Deep cut lag gaya hai kitchen mein, khoon rukk nahi raha, turant dikhana hai.",Emergency Medicine Specialist,Original
"Bijli ka jhatka laga hai kisi ko, behosh pade hain abhi.",Emergency Medicine Specialist,Original
Kisi ki heat stroke se tabiyat achanak bigad gayi hai bahar dhoop mein.,Emergency Medicine Specialist,Original
emergency mein turant dikhana hai,Emergency Medicine Specialist,Specialist Term
casualty le jaana hai,Emergency Medicine Specialist,Specialist Term
turant doctor chahiye abhi,Emergency Medicine Specialist,Specialist Term
ambulance bulani hai turant,Emergency Medicine Specialist,Specialist Term
24x7 emergency ward jaana hai,Emergency Medicine Specialist,Specialist Term
accident ho gaya,Emergency Medicine Specialist,Keyword Phrase
bahut khoon beh raha hai,Emergency Medicine Specialist,Keyword Phrase
behosh ho gaye,Emergency Medicine Specialist,Keyword Phrase
emergency hai,Emergency Medicine Specialist,Keyword Phrase
zeher kha liya,Emergency Medicine Specialist,Keyword Phrase
"Mere dada ji ko chalte waqt balance nahi banta, gir jaane ka dar rehta hai.",Geriatrician,Original
"Nani ji ko har cheez bhoolne lagi hai, ye normal budhapa hai ya bimari.",Geriatrician,Original
"Senior citizen hain, kai dawaiyan chal rahi hain, overall checkup karana hai.",Geriatrician,Original
Buzurg papa ko uthne baithne mein bahut dikkat hoti hai aajkal.,Geriatrician,Original
"Age zyada hai unki, appetite bhi kam ho gayi hai aur weakness rehti hai.",Geriatrician,Original
"80 saal ke hain, akele rehte hain, unka regular health checkup karana hai.",Geriatrician,Original
"Buzurg maa ko raat ko confusion hoti hai, din mein theek rehti hain.",Geriatrician,Original
"Dadi ji gir gayi thi ghar mein, ab chalne mein bahut dar lagta hai unhe.",Geriatrician,Original
"Umar ke saath unhe kai bimariyan ho gayi hain, sabka ek saath dekhna hai.",Geriatrician,Original
75 saal ke papa ko subah subah bahut chakkar aate hain uthte waqt.,Geriatrician,Original
"Buzurg ammi kaafi weak ho gayi hain, khana bhi kam kha rahi hain aajkal.",Geriatrician,Original
Ghar ke buzurgo ke liye regular full body checkup karwana chahte hain.,Geriatrician,Original
"Unki kai dawaiyan chal rahi hain alag alag doctor ki, ek saath review karana hai.",Geriatrician,Original
"Papa ko neend bahut kam aati hai raat mein, din mein sote rehte hain.",Geriatrician,Original
